year,state,totVotes,demVotes,demPct,demEV,gopVotes,gopPct,gopEV,thirdName,thirdVotes,thirdPct,thirdEV,VEP,VAP,pctNonCit,prison,probation,parole,felon,turntE,turntA,demPres,demVice,gopPres,gopVice,thirdPres,thirdVice,demPresBorn,demViceBorn,gopPresBorn,gopViceBorn,thirdPresBorn,thirdViceBorn,ageAll,age4,age17,age24,age44,age64,ageOld,ageMed,gsp,pop,white,black,native,asian,pacific,mult,medInc
2012,Alabama,2074338,795696,38.4,0,1255925,60.5,9,,,,,3539018,3707440,0.026,32431,57993,8616,71783,0.586133781,0.55950683,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,4817528,3373980,1275088,33176,59879,5100,70305,43464
2012,Alaska,300495,122640,40.8,0,164676,54.8,3,,,,,511792,543763,0.038,5633,7173,1882,11317,0.587142824,0.552621271,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,730307,493160,27421,108145,41792,8574,51215,63648
2012,Arizona,2299254,1025232,44.6,0,1233654,53.7,11,,,,,4383008,4959270,0.099,40080,72452,7460,85940,0.524583574,0.46362751,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,6551149,5517287,298656,347168,205167,16855,166016,47044
2012,Arkansas,1069468,394409,36.9,0,647744,60.6,6,,,,,2109664,2242740,0.035,14654,30122,23372,53991,0.506937598,0.476857772,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,2949828,2360550,458902,27645,41599,7585,53547,39018
2012,California,13038547,7854285,60.2,55,4839958,37.1,0,,,,,23666758,28913129,0.174,134534,0,89287,223821,0.550922395,0.450955931,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,37999878,28020072,2508020,634051,5283831,187836,1366068,57020
2012,Colorado,2569520,1323101,51.5,9,1185243,46.1,0,,,,,3674216,3981208,0.069,20462,0,11458,31920,0.699338308,0.645412146,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,5189458,4574667,225593,81582,155057,9269,143290,57255
2012,Connecticut,1558960,905083,58.1,7,634892,40.7,0,,,,,2542607,2801375,0.085,17530,0,2793,20323,0.613134472,0.556498148,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,3591765,2941749,402027,17878,151538,3668,74905,64247
2012,Delaware,413921,242584,58.6,3,165484,40,0,,,,,663663,715708,0.051,6914,15641,601,15805,0.623691542,0.578337814,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,917053,653809,202501,6037,32336,778,21592,48972
2012,Dist. of Col.,293764,267070,90.9,3,21381,7.3,0,,,,,477582,528848,0.097,0,0,0,0,0.615106935,0.555479079,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,633427,272834,316272,3490,24011,909,15911,65246
2012,Florida,8474179,4237756,50,29,4163447,49.1,0,,,,,13485081,15380947,0.108,101930,240869,4538,234129,0.628411427,0.550953007,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,19320749,15109975,3218881,94855,512000,20501,364537,46071
2012,Georgia,3900050,1773827,45.5,0,2078688,53.3,16,,,,,6603887,7452696,0.072,55457,442061,24761,314510,0.590568857,0.52330727,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,9915646,6223794,3093885,50161,353936,10985,182885,48121
2012,Hawaii,434697,306658,70.5,4,121015,27.8,0,,,,,982615,1088335,0.092,5831,0,0,5831,0.442387914,0.399414702,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,1390090,364921,29822,5821,529021,140062,320443,56263
2012,Idaho,652274,212787,32.6,0,420911,64.5,4,,,,,1091410,1173727,0.046,7985,31606,3848,28584,0.597643415,0.555728888,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,1595590,1497512,12052,26889,21649,2909,34579,47922
2012,Illinois,5242014,3019512,57.6,20,2135216,40.7,0,,,,,8899143,9827043,0.089,49348,0,0,49348,0.589047058,0.5334274,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,12868192,10024018,1896534,74751,640828,7792,224269,51738
2012,Indiana,2624534,1152887,43.9,0,1420543,54.1,11,,,,,4754726,4960376,0.036,28831,0,0,28831,0.551984278,0.52909981,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,6537782,5657967,616540,25392,117729,3789,116365,46158
2012,Iowa,1582180,822544,52,6,730617,46.2,0,,,,,2251485,2356209,0.032,8733,29333,5151,29430,0.702727311,0.671493912,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,3075039,2850897,97405,14419,60673,2627,49018,53442
2012,Kansas,1159971,440726,38,0,692634,59.7,6,,,,,2030350,2162442,0.05,9682,17021,5126,23829,0.571315783,0.536417162,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,2885398,2517710,178780,33805,74953,2872,77278,50003
2012,Kentucky,1797212,679370,37.8,0,1087190,60.5,8,,,,,3228938,3368684,0.022,22110,54511,14419,65420,0.556595388,0.533505666,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,4379730,3882158,353784,12287,55756,3389,72356,41086
2012,Louisiana,1994065,809141,40.6,0,1152262,57.8,8,,,,,3311501,3495847,0.027,40172,41298,28946,91006,0.60216349,0.570409689,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,4602134,2930719,1489731,34335,77934,2797,66618,39085
2012,Maine,713180,401306,56.3,4,292276,41,0,,,,,1046008,1064779,0.018,0,0,0,0,0.681811229,0.669791572,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,1328501,1266247,17832,8941,14539,424,20518,49158
2012,Maryland,2707327,1677844,62,10,971869,35.9,0,,,,,4062931,4553853,0.089,21522,96640,13195,85936,0.666348259,0.594513481,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,5884868,3575477,1769764,32290,353026,5734,148577,71836
2012,Massachusetts,3167767,1921290,60.7,11,1188314,37.5,0,,,,,4808650,5263550,0.084,11308,0,0,11308,0.65876431,0.601830894,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,6645303,5553701,528862,31027,389520,6253,135940,63656
2012,Michigan,4730961,2564569,54.2,16,2115256,44.7,0,,,,,7312108,7625576,0.035,43636,0,0,43636,0.647003709,0.620407035,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,9882519,7921404,1413425,69824,260363,3656,213847,50015
2012,Minnesota,2936561,1546167,52.7,10,1320225,45,0,,,,,3861043,4114820,0.044,9938,108157,6006,73267,0.760561589,0.713654789,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,,,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,,,5379646,4651061,299847,69988,236105,3274,119371,61795
